INFO 2025-07-18 20:04:40,504 autoreload Watching for file changes with StatReloader
DEBUG 2025-07-18 20:04:40,506 autoreload Waiting for apps ready_event.
DEBUG 2025-07-18 20:04:41,063 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-07-18 20:04:41,070 autoreload Watching dir L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2025-07-18 20:04:41,070 autoreload Watching dir L:\Programming\Python\Main Problem Solving\Django\Crms\templates with glob **/*.
DEBUG 2025-07-18 20:04:41,071 autoreload Watching dir L:\Programming\Python\Main Problem Solving\Django\Crms\locale with glob **/*.mo.
DEBUG 2025-07-18 20:04:41,071 autoreload Watching dir L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2025-07-18 20:04:41,072 autoreload Watching dir L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\rest_framework_simplejwt\locale with glob **/*.mo.
DEBUG 2025-07-18 20:04:41,073 autoreload Watching dir L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\corsheaders\locale with glob **/*.mo.
DEBUG 2025-07-18 20:04:41,074 autoreload Watching dir L:\Programming\Python\Main Problem Solving\Django\Crms\account\locale with glob **/*.mo.
DEBUG 2025-07-18 20:04:41,149 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2025-07-18 20:04:41,155 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2025-07-18 20:04:41,404 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\rest_framework\exceptions.py first seen with mtime 1752842030.00348
DEBUG 2025-07-18 20:04:41,405 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\charset_normalizer\__init__.py first seen with mtime 1752842003.7929192
DEBUG 2025-07-18 20:04:41,405 autoreload File C:\Python 3.11.9\Lib\email\header.py first seen with mtime 1712040174.0
DEBUG 2025-07-18 20:04:41,405 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\django\core\cache\backends\base.py first seen with mtime 1752842011.929252
DEBUG 2025-07-18 20:04:41,406 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\rest_framework\validators.py first seen with mtime 1752842030.0192566
DEBUG 2025-07-18 20:04:41,406 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\django\utils\safestring.py first seen with mtime 1752842012.279366
DEBUG 2025-07-18 20:04:41,407 autoreload File C:\Python 3.11.9\Lib\xml\dom\NodeFilter.py first seen with mtime 1712040174.0
DEBUG 2025-07-18 20:04:41,407 autoreload File C:\Python 3.11.9\Lib\encodings\aliases.py first seen with mtime 1712040174.0
DEBUG 2025-07-18 20:04:41,407 autoreload File C:\Python 3.11.9\Lib\http\server.py first seen with mtime 1712040174.0
DEBUG 2025-07-18 20:04:41,408 autoreload File C:\Python 3.11.9\Lib\pathlib.py first seen with mtime 1712040174.0
DEBUG 2025-07-18 20:04:41,408 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\django\forms\__init__.py first seen with mtime 1752842012.1196136
DEBUG 2025-07-18 20:04:41,409 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\django\db\backends\base\client.py first seen with mtime 1752842012.0032275
DEBUG 2025-07-18 20:04:41,409 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\django\db\backends\sqlite3\base.py first seen with mtime 1752842012.0532937
DEBUG 2025-07-18 20:04:41,409 autoreload File C:\Python 3.11.9\Lib\linecache.py first seen with mtime 1712040174.0
DEBUG 2025-07-18 20:04:41,410 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\rest_framework\checks.py first seen with mtime 1752842029.9973018
DEBUG 2025-07-18 20:04:41,411 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\urllib3\contrib\__init__.py first seen with mtime 1752841998.910959
DEBUG 2025-07-18 20:04:41,411 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\django\contrib\admin\views\decorators.py first seen with mtime 1752842006.9206388
DEBUG 2025-07-18 20:04:41,413 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\django\core\management\sql.py first seen with mtime 1752842011.9764576
DEBUG 2025-07-18 20:04:41,414 autoreload File C:\Python 3.11.9\Lib\concurrent\futures\_base.py first seen with mtime 1712040174.0
DEBUG 2025-07-18 20:04:41,415 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\django\template\exceptions.py first seen with mtime 1752842012.2191195
DEBUG 2025-07-18 20:04:41,417 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\sqlparse\filters\output.py first seen with mtime 1752842000.4976416
DEBUG 2025-07-18 20:04:41,418 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\corsheaders\__init__.py first seen with mtime 1752842037.1764164
DEBUG 2025-07-18 20:04:41,418 autoreload File C:\Python 3.11.9\Lib\email\generator.py first seen with mtime 1712040174.0
DEBUG 2025-07-18 20:04:41,421 autoreload File C:\Python 3.11.9\Lib\email\mime\nonmultipart.py first seen with mtime 1712040174.0
DEBUG 2025-07-18 20:04:41,422 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\sqlparse\lexer.py first seen with mtime 1752842000.4869628
DEBUG 2025-07-18 20:04:41,422 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\django\contrib\auth\validators.py first seen with mtime 1752842007.526385
DEBUG 2025-07-18 20:04:41,422 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\django\views\generic\edit.py first seen with mtime 1752842012.3695762
DEBUG 2025-07-18 20:04:41,423 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\django\contrib\sessions\base_session.py first seen with mtime 1752842011.4537404
DEBUG 2025-07-18 20:04:41,423 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\django\contrib\staticfiles\utils.py first seen with mtime 1752842011.903209
DEBUG 2025-07-18 20:04:41,424 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\rest_framework_simplejwt\models.py first seen with mtime 1752842037.6724787
DEBUG 2025-07-18 20:04:41,424 autoreload File C:\Python 3.11.9\Lib\asyncio\queues.py first seen with mtime 1712040174.0
DEBUG 2025-07-18 20:04:41,425 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\django\contrib\auth\checks.py first seen with mtime 1752842007.5044103
DEBUG 2025-07-18 20:04:41,425 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\sqlparse\engine\statement_splitter.py first seen with mtime 1752842000.4869628
